automotiveLabel,cyclingLabel,distance,heartRate,runningLabel,stationaryCount,stepCount,steps,unknownLabel,walkingLabel,age,bloodType,name,sex,TimeStamp
0,0,41,88,0,2,14,3,0,1,1,0,1,0,1570673375000000000
0,1,27,253,0,2,20,6,0,0,9,2,3,0,1621811136000000000
0,1,34,279,2,0,12,37,2,1,4,1,2,1,1537863626000000000
0,1,33,227,0,0,30,2,1,1,4,1,2,1,1583938559000000000
2,0,44,124,1,0,6,31,0,0,4,1,2,1,1547983205000000000
0,2,2,165,0,2,8,45,2,0,1,0,1,0,1577919877000000000
0,0,2,192,2,1,10,14,1,0,4,1,2,1,1485383036000000000
1,1,33,290,2,0,36,16,0,0,1,0,1,0,1618648275000000000
1,0,9,266,2,2,45,49,1,1,9,2,3,0,1487159254000000000
0,2,27,114,0,0,31,1,0,1,16,3,4,1,1591948862000000000
2,1,17,39,2,1,21,30,1,2,1,0,1,0,1449202579000000000
0,0,38,73,1,2,45,24,2,1,9,2,3,0,1401148392000000000
2,1,5,181,0,0,32,0,0,2,4,1,2,1,1610822589000000000
1,2,37,283,0,1,33,38,1,0,4,1,2,1,1608567973000000000
1,1,4,177,0,0,4,6,1,1,4,1,2,1,1622627046000000000
2,0,25,130,2,2,48,37,2,0,9,2,3,0,1411747619000000000
0,2,50,182,0,1,43,25,2,1,16,3,4,1,1539967542000000000
1,1,38,196,1,2,35,22,1,1,4,1,2,1,1436191197000000000
2,2,13,37,0,2,31,0,1,1,4,1,2,1,1653151507000000000
2,1,36,120,2,0,28,14,0,2,1,0,1,0,1622621402000000000
1,1,42,107,2,2,2,14,1,2,16,3,4,1,1476465456000000000
1,2,14,179,0,0,44,6,0,2,9,2,3,0,1579645029000000000
2,0,1,42,2,1,30,16,1,2,4,1,2,1,1476975914000000000
0,1,36,188,0,0,2,50,2,0,9,2,3,0,1541820016000000000
2,2,3,255,1,0,11,3,1,1,16,3,4,1,1497225692000000000
1,2,20,18,1,0,20,11,0,2,1,0,1,0,1497694443000000000
2,1,22,165,2,2,37,15,2,0,1,0,1,0,1591460026000000000
2,0,40,281,1,0,45,18,2,2,1,0,1,0,1488178805000000000
0,1,10,129,2,0,3,44,1,2,4,1,2,1,1482397852000000000
1,2,33,147,2,2,43,22,2,0,1,0,1,0,1505207062000000000
1,1,24,149,2,1,0,0,1,2,16,3,4,1,1517011874000000000
0,2,41,185,0,2,37,47,0,0,16,3,4,1,1470742385000000000
0,2,43,109,2,1,20,20,0,1,16,3,4,1,1497818378000000000
2,0,34,267,1,1,6,38,2,2,9,2,3,0,1488539291000000000
0,1,0,160,1,0,35,8,1,0,1,0,1,0,1453499617000000000
0,1,17,125,0,2,2,37,2,2,1,0,1,0,1466662672000000000
1,2,2,54,1,2,35,4,2,0,16,3,4,1,1488412659000000000
2,0,2,168,1,0,42,48,0,2,16,3,4,1,1465654858000000000
2,0,15,166,1,1,2,43,0,0,1,0,1,0,1550060749000000000
0,1,44,40,1,2,38,4,1,0,1,0,1,0,1584410349000000000
0,2,34,285,1,0,17,0,0,2,16,3,4,1,1446969285000000000
1,2,30,198,1,2,22,31,1,2,1,0,1,0,1584884575000000000
2,2,38,22,0,2,31,26,2,1,1,0,1,0,1521035491000000000
0,2,22,45,1,0,40,14,1,0,4,1,2,1,1450272350000000000
0,1,12,195,0,2,17,47,0,2,4,1,2,1,1537899170000000000
0,0,39,26,2,1,18,23,1,1,16,3,4,1,1482216169000000000
2,0,15,161,2,0,26,29,1,1,4,1,2,1,1600426290000000000
0,2,35,53,2,1,24,46,2,1,4,1,2,1,1602343129000000000
2,0,29,132,1,0,22,7,2,2,1,0,1,0,1590494636000000000
1,0,43,145,2,0,38,25,0,2,1,0,1,0,1466036020000000000
0,2,34,34,1,0,48,32,2,2,9,2,3,0,1448708014000000000
1,2,15,109,1,2,21,16,0,1,1,0,1,0,1642381841000000000
1,1,14,171,2,2,0,22,1,2,16,3,4,1,1464144296000000000
2,1,23,293,2,0,43,47,2,2,4,1,2,1,1466700405000000000
2,2,25,266,2,2,50,46,1,2,16,3,4,1,1486880645000000000
0,1,44,60,0,1,2,25,2,0,4,1,2,1,1641254961000000000
0,0,47,10,1,0,34,16,1,1,4,1,2,1,1434550290000000000
2,0,1,270,2,2,4,30,0,2,4,1,2,1,1584177686000000000
2,0,38,27,1,2,26,20,1,2,4,1,2,1,1469567452000000000
0,1,43,269,0,0,50,29,2,2,4,1,2,1,1496854097000000000
1,0,36,121,2,1,39,22,2,0,4,1,2,1,1624862834000000000
1,0,8,199,1,0,50,32,0,1,16,3,4,1,1407062252000000000
1,1,33,34,0,0,8,30,2,1,16,3,4,1,1672033094000000000
0,0,9,271,2,1,41,15,1,1,1,0,1,0,1628588360000000000
1,2,25,79,0,2,5,30,0,1,4,1,2,1,1495411258000000000
